concurso,data_sorteio,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,arrecadacao_total,ganhadores_15_numeros,ganhadores_14_numeros,ganhadores_13_numeros,ganhadores_12_numeros,ganhadores_11_numeros,valor_rateio_15_numeros,valor_rateio_14_numeros,valor_rateio_13_numeros,valor_rateio_12_numeros,valor_rateio_11_numeros,acumulado_15_numeros,estimativa_premio,valor_acumulado_especial
125,13/02/2006,10,22,7,6,12,16,11,21,4,9,24,3,2,25,15,0,2,395,13621,188288,1269512,"1047965,76","2274,07",10,4,2,0,0,0
126,20/02/2006,7,22,18,8,13,25,16,1,21,4,24,14,3,2,6,0,0,493,18073,245449,1428758,0,"1516,7",10,4,2,"1744710,64",0,0
127,01/03/2006,5,25,4,1,13,2,12,18,22,19,23,7,3,10,11,0,5,633,26537,226287,1209770,"519339,5","574,65",10,4,2,0,0,0
128,06/03/2006,17,2,14,21,3,23,6,15,13,11,4,16,19,25,20,0,2,422,18165,257399,1512543,"830452,68","1686,77",10,4,2,0,0,0
129,13/03/2006,5,11,9,22,6,21,7,19,2,20,15,23,18,25,13,0,3,907,38023,333579,1684780,"448986,01","634,05",10,4,2,0,0,0
130,20/03/2006,15,19,6,4,24,2,17,25,13,23,10,12,5,3,9,0,3,952,29720,362203,1689512,"417614,17","561,87",10,4,2,0,0,0
131,27/03/2006,2,25,20,12,5,7,6,11,13,19,8,4,15,22,23,0,1,660,23967,320580,1600418,"1341544,37","871,13",10,4,2,0,0,0
132,03/04/2006,9,25,14,11,7,15,1,22,16,4,5,17,3,10,23,0,10,792,26452,340872,1584197,"135976,17","733,01",10,4,2,0,0,0
133,10/04/2006,18,22,9,3,15,20,8,21,4,19,13,1,11,23,5,0,5,895,32294,385069,1862691,"217132,17","517,9",10,4,2,0,0,0
134,17/04/2006,12,16,5,7,11,19,8,25,22,17,14,1,3,10,13,0,4,1345,32243,321650,1628816,"325378,91","413,15",10,4,2,0,0,0
135,24/04/2006,7,22,13,2,21,14,19,8,1,25,20,10,15,18,5,0,7,775,20815,253415,1441124,"234154,46","906,41",10,4,2,0,0,0
136,02/05/2006,1,2,23,12,17,21,5,22,9,15,24,14,13,6,3,0,2,329,14555,238514,1255488,"671843,75","1750,35",10,4,2,0,0,0
137,08/05/2006,18,6,19,25,11,8,17,20,16,10,2,21,12,9,13,0,2,313,12648,221694,1259615,"937816,37","2568,19",10,4,2,0,0,0
138,15/05/2006,15,7,16,17,8,24,22,2,3,13,11,5,21,25,4,0,3,464,18695,250239,1503282,"476718,72","1320,96",10,4,2,0,0,0
139,22/05/2006,22,24,23,12,1,15,7,14,21,16,17,2,9,18,19,0,1,443,18564,247145,1370404,"1596786,85","1544,78",10,4,2,0,0,0
140,29/05/2006,12,10,19,1,25,22,15,6,2,24,13,20,9,18,3,0,7,787,22971,268181,1413296,"210217,72","801,34",10,4,2,0,0,0
141,05/06/2006,18,12,19,3,8,17,13,1,25,20,10,16,9,24,7,0,2,471,17588,247734,1532701,"793662,96","1444,34",10,4,2,0,0,0
